# Number of cells: 0
Time,Voltage,Volts per cell,Amperage,Ah consumed
1,8.33,4.17,0.35,0.003
3,8.33,4.17,0.35,0.003
5,8.21,4.11,1.52,0.004
7,8.2,4.10,1.53,0.005
9,8.19,4.09,1.52,0.005
11,8.19,4.09,1.52,0.006
13,8.19,4.09,1.52,0.007
15,8.18,4.09,1.52,0.008
17,8.18,4.09,1.52,0.009
19,8.17,4.08,1.52,0.01
21,8.17,4.08,1.52,0.011
23,8.16,4.08,1.52,0.011
25,8.16,4.08,1.52,0.012
27,8.16,4.08,1.52,0.013
29,8.15,4.08,1.52,0.014
31,8.15,4.08,1.52,0.015
33,8.15,4.08,1.52,0.016
35,8.15,4.08,1.52,0.016
37,8.15,4.08,1.52,0.017
39,8.15,4.08,1.52,0.018
41,8.15,4.08,1.52,0.019
43,8.15,4.08,1.52,0.02
45,8.15,4.08,1.52,0.021
47,8.14,4.07,1.52,0.022
49,8.14,4.07,1.52,0.022
51,8.14,4.07,1.52,0.023
53,8.14,4.07,1.52,0.024
55,8.14,4.07,1.52,0.025
57,8.14,4.07,1.52,0.026
59,8.14,4.07,1.52,0.027
61,8.13,4.07,1.52,0.028
63,8.13,4.07,1.52,0.028
65,8.13,4.07,1.52,0.029
67,8.13,4.07,1.52,0.03
69,8.13,4.07,1.52,0.031
71,8.12,4.06,1.52,0.032
73,8.12,4.06,1.52,0.033
75,8.12,4.06,1.52,0.034
77,8.12,4.06,1.52,0.034
79,8.12,4.06,1.52,0.035
81,8.12,4.06,1.52,0.036
83,8.12,4.06,1.52,0.037
85,8.12,4.06,1.52,0.038
87,8.12,4.06,1.52,0.039
89,8.11,4.05,1.52,0.039
91,8.11,4.05,1.52,0.04
93,8.11,4.05,1.52,0.041
95,8.11,4.05,1.52,0.042
97,8.11,4.05,1.52,0.043
99,8.11,4.05,1.52,0.044
101,8.11,4.05,1.52,0.045
103,8.1,4.05,1.52,0.045
105,8.11,4.05,1.52,0.046
107,8.1,4.05,1.52,0.047
109,8.1,4.05,1.52,0.048
111,8.1,4.05,1.52,0.049
113,8.1,4.05,1.52,0.05
